   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved           Average_Intensity
      3176            -22652            -22652            -18035            -18035        0.01311726671        
      3177            -22652            -22652            -21185            -21185        0.01244340266        
      3178            -22652            -22652            -24335            -24335        -0.007608715334        
      3179            -22652            -22652            -27485            -27485        -0.01680272635        
      3180            -25802            -25802             -2285             -2285        -0.01684029129        
      3181            -25802            -25802             -5435             -5435        -0.01526740738        
      3182            -25802            -25802             -8585             -8585        0.0009600634075        
      3183            -25802            -25802            -11735            -11735        0.01114990567        
      3184            -25802            -25802            -14885            -14885        0.01071917243        
      3185            -25802            -25802            -18035            -18035        0.0110296142        
      3186            -25802            -25802            -21185            -21185        0.01010501306        
      3187            -25802            -25802            -24335            -24335        -0.008572575109        
      3188            -25802            -25802            -27485            -27485        -0.0168773786        
      3189            -28952            -28952             -2285             -2285        -0.01689496502        
      3190            -28952            -28952             -5435             -5435        -0.01618704586        
      3191            -28952            -28952             -8585             -8585        -0.008767169859        
      3192            -28952            -28952            -11735            -11735        -0.004362918687        
      3193            -28952            -28952            -14885            -14885        -0.004495415702        
      3194            -28952            -28952            -18035            -18035        -0.004271628437        
      3195            -28952            -28952            -21185            -21185        -0.004775272316        
      3196            -28952            -28952            -24335            -24335        -0.01321108244        
      3197            -28952            -28952            -27485            -27485        -0.0168825463        
      3198            -32102            -32102             -2285             -2285        -0.01688813695        
      3199            -32102            -32102             -5435             -5435        -0.01683613991        
      3200            -32102            -32102             -8585             -8585        -0.01663406134        
      3201            -32102            -32102            -11735            -11735        -0.01650138128        
      3202            -32102            -32102            -14885            -14885        -0.01646497966        
      3203            -32102            -32102            -18035            -18035        -0.01643341622        
      3204            -32102            -32102            -21185            -21185        -0.01645486695        
      3205            -32102            -32102            -24335            -24335        -0.01675075602        
      3206            -32102            -32102            -27485            -27485        -0.01688001843        
      3207             -3752             -3752             -2285             -2285        -0.01682874698        
      3208             -3752             -3752             -5435             -5435        -0.01685466463        
      3209             -3752             -3752             -8585             -8585        -0.01690768497        
      3210             -3752             -3752            -11735            -11735        -0.01691094409        
      3211             -3752             -3752            -14885            -14885        -0.01688534826        
      3212             -3752             -3752            -18035            -18035        -0.01689184784        
      3213             -3752             -3752            -21185            -21185        -0.01690722916        
      3214             -3752             -3752            -24335            -24335        -0.01687582557        
      3215             -3752             -3752            -27485            -27485        -0.01685221142        
      3216             -6902             -6902             -2285             -2285        -0.01690251205        
      3217             -6902             -6902             -5435             -5435        -0.0169181428        
      3218             -6902             -6902             -8585             -8585        -0.01690003498        
      3219             -6902             -6902            -11735            -11735        -0.01690594451        
      3220             -6902             -6902            -14885            -14885        -0.01686696531        
      3221             -6902             -6902            -18035            -18035        -0.01689512361        
      3222             -6902             -6902            -21185            -21185        -0.01689683169        
      3223             -6902             -6902            -24335            -24335        -0.01688237161        
      3224             -6902             -6902            -27485            -27485        -0.01686132635        
      3225            -10052            -10052             -2285             -2285        -0.01687059228        
      3226            -10052            -10052             -5435             -5435        -0.01687223816        
      3227            -10052            -10052             -8585             -8585        -0.01688492691        
      3228            -10052            -10052            -11735            -11735        -0.01684610088        
      3229            -10052            -10052            -14885            -14885        -0.01688055822        
      3230            -10052            -10052            -18035            -18035        -0.01688036818        
      3231            -10052            -10052            -21185            -21185        -0.01689760743        
      3232            -10052            -10052            -24335            -24335        -0.01689267339        
      3233            -10052            -10052            -27485            -27485        -0.01687558889        
      3234            -13202            -13202             -2285             -2285        -0.01689359236        
      3235            -13202            -13202             -5435             -5435        -0.01689180947        
      3236            -13202            -13202             -8585             -8585        -0.01682642763        
      3237            -13202            -13202            -11735            -11735        -0.01685369598        
      3238            -13202            -13202            -14885            -14885        -0.01684334079        
      3239            -13202            -13202            -18035            -18035        -0.01685490678        
      3240            -13202            -13202            -21185            -21185        -0.01682845822        
      3241            -13202            -13202            -24335            -24335        -0.01688444927        
      3242            -13202            -13202            -27485            -27485        -0.0168122658        
      3243            -16352            -16352             -2285             -2285        -0.01685440897        
      3244            -16352            -16352             -5435             -5435        -0.01690549537        
      3245            -16352            -16352             -8585             -8585        -0.01687435762        
      3246            -16352            -16352            -11735            -11735        -0.01686301028        
      3247            -16352            -16352            -14885            -14885        -0.01689232579        
      3248            -16352            -16352            -18035            -18035        -0.01686710956        
      3249            -16352            -16352            -21185            -21185        -0.01684335384        
      3250            -16352            -16352            -24335            -24335        -0.01686012376        
      3251            -16352            -16352            -27485            -27485        -0.01686144827        
      3252            -19502            -19502             -2285             -2285        -0.01683641138        
      3253            -19502            -19502             -5435             -5435        -0.01685809602        
      3254            -19502            -19502             -8585             -8585        -0.01687935906        
      3255            -19502            -19502            -11735            -11735        -0.01689951987        
      3256            -19502            -19502            -14885            -14885        -0.01687960016        
      3257            -19502            -19502            -18035            -18035        -0.01688279361        
      3258            -19502            -19502            -21185            -21185        -0.01689669891        
      3259            -19502            -19502            -24335            -24335        -0.01695760693        
      3260            -19502            -19502            -27485            -27485        -0.01693553824        
      3261            -22652            -22652             -2285             -2285        -0.01688710185        
      3262            -22652            -22652             -5435             -5435        -0.01691486833        
      3263            -22652            -22652             -8585             -8585        -0.01694512525        
      3264            -22652            -22652            -11735            -11735        -0.01687695109        
      3265            -22652            -22652            -14885            -14885        -0.01687325506        
      3266            -22652            -22652            -18035            -18035        -0.01686956279        
      3267            -22652            -22652            -21185            -21185        -0.01688389804        
      3268            -22652            -22652            -24335            -24335        -0.0169017372        
      3269            -22652            -22652            -27485            -27485        -0.01686594989        
      3270            -25802            -25802             -2285             -2285        -0.01686448341        
      3271            -25802            -25802             -5435             -5435        -0.01687404975        
      3272            -25802            -25802             -8585             -8585        -0.01688500874        
      3273            -25802            -25802            -11735            -11735        -0.01690571009        
      3274            -25802            -25802            -14885            -14885        -0.01688086903        
      3275            -25802            -25802            -18035            -18035        -0.01691851685        
      3276            -25802            -25802            -21185            -21185        -0.01688245839        
      3277            -25802            -25802            -24335            -24335        -0.01693421401        
      3278            -25802            -25802            -27485            -27485        -0.01690335327        
      3279            -28952            -28952             -2285             -2285        -0.01688929644        
      3280            -28952            -28952             -5435             -5435        -0.01690356109        
      3281            -28952            -28952             -8585             -8585        -0.01692642952        
      3282            -28952            -28952            -11735            -11735        -0.01691406397        
      3283            -28952            -28952            -14885            -14885        -0.01691369135        
      3284            -28952            -28952            -18035            -18035        -0.01689580237        
      3285            -28952            -28952            -21185            -21185        -0.01688884096        
      3286            -28952            -28952            -24335            -24335        -0.01690307646        
      3287            -28952            -28952            -27485            -27485        -0.01685917719        
      3288            -32102            -32102             -2285             -2285        -0.01686830363        
      3289            -32102            -32102             -5435             -5435        -0.0169115648        
      3290            -32102            -32102             -8585             -8585        -0.01688771423        
      3291            -32102            -32102            -11735            -11735        -0.01691223363        
      3292            -32102            -32102            -14885            -14885        -0.01690920546        
      3293            -32102            -32102            -18035            -18035        -0.01688885702        
      3294            -32102            -32102            -21185            -21185        -0.01685860567        
      3295            -32102            -32102            -24335            -24335        -0.01684308271        
      3296            -32102            -32102            -27485            -27485        -0.01685332524        
