   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved      Average_Intensity_M4    Average_Intensity_M1        
      4088            -12661            -12661             -3192             -3192        -0.0007491516084        -1.800963652
      4089            -12661            -12661             -4767             -4767        -0.0007556383305        -1.799949488
      4090            -12661            -12661             -6342             -6342        -0.0007546085304        -1.806853322
      4091            -12661            -12661             -7917             -7917        -0.000753641887        -1.807552551
      4092            -12661            -12661             -9492             -9492        -0.0007555744382        -1.799881197
      4093            -12661            -12661            -11067            -11067        -0.0007588452367        -1.801670858
      4094            -12661            -12661            -12642            -12642        -0.0007633003886        -1.802162149
      4095            -12661            -12661            -14217            -14217        -0.0007618088021        -1.802025013
      4096            -12661            -12661            -15792            -15792        -0.0007636392682        -1.791418231
      4097            -12661            -12661            -17367            -17367        -0.0007606366123        -1.794507503
      4098            -12661            -12661            -18942            -18942        -0.0007623581773        -1.806114407
      4099            -12661            -12661            -20517            -20517        -0.0007646335754        -1.805834234
      4100            -12661            -12661            -22092            -22092        -0.0007651245442        -1.801868799
      4101            -12661            -12661            -23667            -23667        -0.0007679319883        -1.802852161
      4102            -12661            -12661            -25242            -25242        -0.0007716761437        -1.792159453
      4103            -12661            -12661            -26817            -26817        -0.0007719461328        -1.785847232
      4104            -12661            -12661            -28392            -28392        -0.0007729315157        -1.797701967
      4105            -14236            -14236             -3192             -3192        -0.0007740514782        -1.801115883
      4106            -14236            -14236             -4767             -4767        -0.000770622137        -1.806976167
      4107            -14236            -14236             -6342             -6342        -0.0007723326387        -1.803595568
      4108            -14236            -14236             -7917             -7917        -0.0007723995285        -1.802901099
      4109            -14236            -14236             -9492             -9492        -0.0007723423195        -1.795513272
      4110            -14236            -14236            -11067            -11067        -0.0007720607634        -1.791308002
      4111            -14236            -14236            -12642            -12642        -0.0007734281268        -1.787365283
      4112            -14236            -14236            -14217            -14217        -0.0007761840283        -1.788625813
      4113            -14236            -14236            -15792            -15792        -0.0007707468255        -1.79781251
      4114            -14236            -14236            -17367            -17367        -0.0007714314259        -1.799731973
      4115            -14236            -14236            -18942            -18942        -0.000774442247        -1.805473395
      4116            -14236            -14236            -20517            -20517        -0.0007711019769           -1.8004
      4117            -14236            -14236            -22092            -22092        -0.0007755116579        -1.798100277
      4118            -14236            -14236            -23667            -23667        -0.000776505857        -1.806749306
      4119            -14236            -14236            -25242            -25242        -0.0007792301762        -1.809541962
      4120            -14236            -14236            -26817            -26817        -0.0007770551845        -1.802972667
      4121            -14236            -14236            -28392            -28392        -0.0007796959688        -1.80467248
      4122            -15811            -15811             -3192             -3192        -0.0007738825193        -1.794879244
      4123            -15811            -15811             -4767             -4767        -0.0007713559179        -1.807449307
      4124            -15811            -15811             -6342             -6342        -0.0007687051422        -1.802694423
      4125            -15811            -15811             -7917             -7917        -0.0007693902782        -1.795078818
