Date & Time               Run Number
2014-12-09-15-12-31          3085
2014-12-09-15-12-49          3086
2014-12-09-15-13-07          3087
2014-12-09-15-13-26          3088
2014-12-09-15-14-04          3089
2014-12-09-15-14-22          3090
2014-12-09-15-14-40          3091
2014-12-09-15-14-58          3092
2014-12-09-15-15-17          3093
2014-12-09-15-15-35          3094
2014-12-09-15-15-53          3095
2014-12-09-15-16-31          3096
2014-12-09-15-16-50          3097
2014-12-09-15-17-08          3098
2014-12-09-15-17-26          3099
2014-12-09-15-17-44          3100
2014-12-09-15-18-03          3101
2014-12-09-15-18-21          3102
2014-12-09-15-18-59          3103
2014-12-09-15-19-17          3104
2014-12-09-15-19-36          3105
2014-12-09-15-19-54          3106
2014-12-09-15-20-12          3107
2014-12-09-15-20-30          3108
2014-12-09-15-20-49          3109
2014-12-09-15-21-27          3110
2014-12-09-15-21-45          3111
2014-12-09-15-22-03          3112
2014-12-09-15-22-22          3113
2014-12-09-15-22-40          3114
2014-12-09-15-22-58          3115
2014-12-09-15-23-16          3116
2014-12-09-15-28-55          3117
2014-12-09-15-29-13          3118
2014-12-09-15-29-30          3119
2014-12-09-15-29-47          3120
2014-12-09-15-30-04          3121
2014-12-09-15-30-22          3122
2014-12-09-15-30-39          3123
2014-12-09-15-30-56          3124
2014-12-09-15-31-13          3125
2014-12-09-15-31-50          3126
2014-12-09-15-32-07          3127
2014-12-09-15-32-24          3128
2014-12-09-15-32-41          3129
2014-12-09-15-32-59          3130
2014-12-09-15-33-16          3131
2014-12-09-15-33-33          3132
2014-12-09-15-33-50          3133
2014-12-09-15-34-07          3134
2014-12-09-15-34-44          3135
2014-12-09-15-35-01          3136
2014-12-09-15-35-18          3137
2014-12-09-15-35-36          3138
2014-12-09-15-35-53          3139
2014-12-09-15-36-10          3140
2014-12-09-15-36-27          3141
2014-12-09-15-36-45          3142
2014-12-09-15-37-02          3143
2014-12-09-15-37-38          3144
2014-12-09-15-37-56          3145
2014-12-09-15-38-13          3146
2014-12-09-15-38-30          3147
2014-12-09-15-38-47          3148
2014-12-09-15-39-05          3149
2014-12-09-15-39-22          3150
2014-12-09-15-39-39          3151
2014-12-09-15-39-57          3152
2014-12-09-15-40-33          3153
2014-12-09-15-40-50          3154
2014-12-09-15-41-07          3155
2014-12-09-15-41-25          3156
2014-12-09-15-41-42          3157
2014-12-09-15-41-59          3158
2014-12-09-15-42-16          3159
2014-12-09-15-42-34          3160
2014-12-09-15-42-51          3161
2014-12-09-15-43-27          3162
2014-12-09-15-43-44          3163
2014-12-09-15-44-01          3164
2014-12-09-15-44-19          3165
2014-12-09-15-44-36          3166
2014-12-09-15-44-53          3167
2014-12-09-15-45-10          3168
2014-12-09-15-45-28          3169
2014-12-09-15-45-45          3170
2014-12-09-15-46-21          3171
2014-12-09-15-46-39          3172
2014-12-09-15-46-56          3173
2014-12-09-15-47-13          3174
2014-12-09-15-47-30          3175
2014-12-09-15-47-48          3176
2014-12-09-15-48-05          3177
2014-12-09-15-48-22          3178
2014-12-09-15-48-40          3179
2014-12-09-15-49-16          3180
2014-12-09-15-49-33          3181
2014-12-09-15-49-50          3182
2014-12-09-15-50-08          3183
2014-12-09-15-50-25          3184
2014-12-09-15-50-42          3185
2014-12-09-15-50-59          3186
2014-12-09-15-51-17          3187
2014-12-09-15-51-34          3188
2014-12-09-15-52-10          3189
2014-12-09-15-52-27          3190
2014-12-09-15-52-45          3191
2014-12-09-15-53-02          3192
2014-12-09-15-53-19          3193
2014-12-09-15-53-37          3194
2014-12-09-15-53-54          3195
2014-12-09-15-54-11          3196
2014-12-09-15-54-28          3197
2014-12-09-15-55-04          3198
2014-12-09-15-55-22          3199
2014-12-09-15-55-39          3200
2014-12-09-15-55-56          3201
2014-12-09-15-56-13          3202
2014-12-09-15-56-31          3203
2014-12-09-15-56-48          3204
2014-12-09-15-57-05          3205
2014-12-09-15-57-23          3206
2014-12-09-16-26-42          3207
2014-12-09-16-26-59          3208
2014-12-09-16-27-16          3209
2014-12-09-16-27-34          3210
2014-12-09-16-27-51          3211
2014-12-09-16-28-08          3212
2014-12-09-16-28-25          3213
2014-12-09-16-28-42          3214
2014-12-09-16-28-59          3215
2014-12-09-16-29-36          3216
2014-12-09-16-29-53          3217
2014-12-09-16-30-10          3218
2014-12-09-16-30-27          3219
2014-12-09-16-30-45          3220
2014-12-09-16-31-02          3221
2014-12-09-16-31-19          3222
2014-12-09-16-31-36          3223
2014-12-09-16-31-54          3224
2014-12-09-16-32-30          3225
2014-12-09-16-32-47          3226
2014-12-09-16-33-04          3227
2014-12-09-16-33-21          3228
2014-12-09-16-33-39          3229
2014-12-09-16-33-56          3230
2014-12-09-16-34-13          3231
2014-12-09-16-34-30          3232
2014-12-09-16-34-48          3233
