Date_Time             Cha-1(Gauss)     Ch-2(Gauss)       Ch-3(Gauss)      Ch-4(Gauss)     Ch-5(Gauss)    Ch-6(Gauss)  Max_Range(Gauss)    Offset(Gauss)
===========           =============  =============     =============    =============   =============  =============  ================  ====================

2015-01-12-16-34-59	 6.1343633	       -10	0.66043053	-1.033792e-05	-1.3914198e-05	-3.1853632e-06	 9.9999972	5.0458813e-05	
2015-01-12-16-35-10	  6.134349	       -10	0.66039834	-4.377456e-06	-1.2722106e-05	-6.7616416e-06	 9.9999972	5.6419277e-05	
2015-01-12-16-35-20	 6.1343073	       -10	0.66037927	-7.9537344e-06	-1.2722106e-05	-1.033792e-05	 9.9999972	6.5956019e-05	
2015-01-12-16-35-31	 6.1342584	       -10	0.59480344	-6.7616416e-06	-1.3914198e-05	-4.377456e-06	 9.9999972	4.092207e-05	
2015-01-12-16-35-41	-0.031301582	-4.6318309	0.21797456	-6.7616416e-06	-1.5106291e-05	-6.7616416e-06	 9.9999972	3.9729978e-05	
2015-01-12-16-35-52	-0.031239593	-4.6317546	0.21782078	-4.377456e-06	-1.3914198e-05	-4.377456e-06	 9.9999972	4.4498349e-05	
2015-01-12-16-36-03	-0.03123244	-4.6317844	0.21785177	-6.7616416e-06	-1.3914198e-05	-4.377456e-06	 9.9999972	4.926672e-05	
2015-01-12-16-36-13	-0.031222904	-4.6318035	0.21785416	-5.5695488e-06	-1.2722106e-05	-5.5695488e-06	 9.9999972	4.8074627e-05	
2015-01-12-16-36-24	-0.031222904	-4.6318106	0.21784581	-7.9537344e-06	-1.5106291e-05	-6.7616416e-06	 9.9999972	5.9995555e-05	
2015-01-12-16-41-10	-0.031182373	  -4.63167	0.21788158	-9.1458272e-06	-2.1066755e-05	-1.033792e-05	 9.9999781	3.9729978e-05	
2015-01-12-16-41-20	-0.031177604	-4.6315579	0.21788396	-1.033792e-05	-1.6298384e-05	-7.9537344e-06	 9.9999817	3.9729978e-05	
2015-01-12-16-41-30	-0.03118118	-4.6315257	0.21788038	-6.7616416e-06	-1.9874662e-05	-9.1458272e-06	 9.9999865	4.8074627e-05	
2015-01-12-16-41-39	-0.031185949	-4.6314661	0.21787681	-9.1458272e-06	-2.1066755e-05	-6.7616416e-06	 9.9999817	4.5690442e-05	
2015-01-12-16-41-49	-0.03118118	-4.6314697	0.21787562	-1.033792e-05	-2.4643034e-05	-9.1458272e-06	 9.9999829	5.2842998e-05	
